Bodyweight Lateral Squat,121836544
Bodyweight Squat to Box,121836999
Prisoner Squat,122356281
Overhead Broomstick Squat,122353973
Assisted Bodyweight Squat to Box,121809095
Assisted Lateral Squat,121809096
Band-Resisted Goblet Squat,121826848
Band-Resisted Squat,121828054
Dumbbell 1 1/4 Full Squat,121850878
Dumbbell Full Squat,121851282
Goblet 1 1/4 Squat,121852964
Goblet Lateral Squat,121852967
Goblet Squat,121853329
Goblet Squat Iso,121853331
Goblet Squat to Box,121853333
Goblet Squat With Pulse,121853335
Plate Squat,122356280
Barbell Front Squat,121834068
Barbell Front Squat to Box,121834075
Anderson Front Squat,121809094
Barbell Back Squat,121830733
Barbell Box Squat,121830739
Barbell Front Squat Iso,121834071
Overhead Barbell Squat,122353971
Hip-Belt Squat,121949480
