Alternating Dumbbell Curl,111032518
Banded Curl,111035494
Dumbbell Curl,111113510
Hammer Curl,111117181
Seated Dumbbell Curl,111522885
Single-Arm Dumbbell Curl,111524882
Single-Arm Plate Curl,111543719
Barbell Curl,111040674
Band Press-Down,111033314
Triceps Press-Down,112074200
Lying Dumbbell Triceps Extension,111255275
Lying Dumbbell Rolling Triceps Extension,111253802
Overhead Band Triceps Extension,111440651
Overhead Cable Triceps Extension,111440656
Single-Arm Lying Dumbbell Triceps Extension,111541980
Single-Arm Lying Dumbbell Rolling Triceps Extension,111541980
