Bodyweight Lateral Squat,111051113
Bodyweight Squat to Box,111051119
Prisoner Squat,111471295
Overhead Broomstick Squat,111440654
Assisted Bodyweight Squat to Box,111032898
Assisted Lateral Squat,111032900
Band-Resisted Goblet Squat,111035086
Band-Resisted Squat,111035492
Dumbbell 1 1/4 Full Squat,111113502
Dumbbell Full Squat,111114459
Goblet 1 1/4 Squat,111127665
Goblet Lateral Squat,111127670
Goblet Squat,111129796
Goblet Squat Iso,111129797
Goblet Squat to Box,111129801
Goblet Squat With Pulse,111129802
Plate Squat,111471294
Barbell Front Squat,111043107
Barbell Front Squat to Box,111043112
Anderson Front Squat,111032895
Barbell Back Squat,111036346
Barbell Box Squat,111040672
Barbell Front Squat Iso,111043110
Overhead Barbell Squat,111440652
Hip-Belt Squat,111241986
